city,population,lat,lon,region_name,region_name_ao,region_iso_code,federal_district,okato,oktmo,kladr_id,fias_id
Астрахань,529.8,46.3655652,48.0559236,Астраханская область,,RU-AST,Южный,12401000000,12701000001,3000000100000,a101dd8b-3aee-4bda-9c61-9df106f145ff
Ахтубинск,36.5,48.2752034,46.1906462,Астраханская область,,RU-AST,Южный,12205501000,12605101001,3000200100000,8d7acd62-cef4-4d5c-8057-644ee454ce6c
Знаменск,26.7,48.5866291,45.7368019,Астраханская область,,RU-AST,Южный,12519000000,12719000001,3000000200000,54ecd5a8-83d9-4a85-ae2c-6fe6976ab716
Камызяк,15.7,46.110579,48.07333,Астраханская область,,RU-AST,Южный,12225501000,12625101001,3000600100000,bc643e13-dcc5-4fa4-8cb1-94f71c5c18f4
Нариманов,10.8,46.6916565,47.8502476,Астраханская область,,RU-AST,Южный,12240501000,12640101001,3000900100000,46ce55dd-e3e2-4c31-ab3c-273423c2f782
Харабали,17.5,47.408999,47.2525345,Астраханская область,,RU-AST,Южный,12245501000,12645101001,3001100100000,08373220-e187-4094-82de-b8e0864c5f38
Алексеевка,37.8,50.6299647,38.6880342,Белгородская область,,RU-BEL,Центральный,14410000000,14710000001,3100200100000,94969f84-fff4-4ddf-9677-b912b4b2aa3e
Белгород,394.1,50.5976472,36.5856652,Белгородская область,,RU-BEL,Центральный,14401000000,14701000001,3100000100000,02e9c019-ab4d-4fa0-928e-d6c0a41dc256
Бирюч,7.5,50.6484585,38.4005083,Белгородская область,,RU-BEL,Центральный,14242501000,14642151001,3101200100000,eaaf5809-d1e2-4d93-8f05-85dd598cc403
Валуйки,34.2,50.2111207,38.0998772,Белгородская область,,RU-BEL,Центральный,14420000000,14720000001,3100400100000,fe7eea4a-875a-4235-aa61-81c2a37a0440
Грайворон,6.5,50.4862958,35.6663877,Белгородская область,,RU-BEL,Центральный,14232501000,14725000001,3100700100000,51c31ef5-10b3-4011-8e1c-7e7d452afd1b
Губкин,86.2,51.2837123,37.5347759,Белгородская область,,RU-BEL,Центральный,14430000000,14730000001,3100000400000,98b1ec30-6107-4f99-ae3a-9d82492f30a1
Короча,5.8,50.8129041,37.1896436,Белгородская область,,RU-BEL,Центральный,14240501000,14640101001,3101000100000,76fecead-fc02-459a-bce4-848698e645fe
Новый Оскол,18.5,50.7633747,37.8775484,Белгородская область,,RU-BEL,Центральный,14244501000,14735000001,3101400100000,f565b329-4041-4fd2-aa0a-debd5f7c3857
Старый Оскол,223.9,51.2967101,37.8350182,Белгородская область,,RU-BEL,Центральный,14440000000,14740000001,3100000200000,9f5e86b1-b893-43dc-9dd4-ac66573b17d1
Строитель,24.1,50.7845099,36.4887648,Белгородская область,,RU-BEL,Центральный,14258501000,14755000001,3102100100000,19c9f6de-45cd-4c76-9839-abd571698ced
Шебекино,40.9,50.4004883,36.8877889,Белгородская область,,RU-BEL,Центральный,14450000000,14750000001,3100000300000,dc80ddf0-b1ac-4344-98e8-fcfa5295a0a3
Брянск,402.7,53.2419535,34.3652146,Брянская область,,RU-BRY,Центральный,15401000000,15701000001,3200000100000,414b71cf-921e-4bfc-b6e0-f7395d16aaef
Дятьково,26.2,53.5958178,34.3551812,Брянская область,,RU-BRY,Центральный,15216501000,15616104001,3200600100000,fd37b6f0-2406-41ca-86bc-57dd58fd71f4
