,city,geo_lat,geo_lon,region,region_iso_code,federal_district,capital_marker,okato,oktmo,kladr_id,fias_id,unparsed_parts,query_city,query_region
31,Няндома,61.6654674,40.2062947,Архангельская,RU-ARK,Северо-Западный,1,11244501000,11644101001,2901300100000,491b0861-0da5-4781-9c2c-521df0ea7af6,,Няндома,Архангельская область
32,Онега,63.9162928,38.0805031,Архангельская,RU-ARK,Северо-Западный,1,11420000000,11646101001,2901400100000,53e6ddd5-a1fb-4444-89a4-3952ef6f114b,,Онега,Архангельская область
33,Северодвинск,64.5625385,39.8180934,Архангельская,RU-ARK,Северо-Западный,0,11430000000,11730000001,2900000400000,32747c72-c08b-4440-b340-91f48d72f9db,,Северодвинск,Архангельская область
34,Сольвычегодск,61.3319616,46.920441,Архангельская,RU-ARK,Северо-Западный,0,11227504000,11627104001,2900800300000,a56a44ee-f79d-4e51-b219-c3c828c7e0c0,,Сольвычегодск,Архангельская область
35,Шенкурск,62.1057272,42.8996973,Архангельская,RU-ARK,Северо-Западный,1,11258501000,11658101001,2901900100000,74a26d75-38a6-485a-9468-52dd7c6711fa,,Шенкурск,Архангельская область
36,Астрахань,46.3655652,48.0559236,Астраханская,RU-AST,Южный,2,12401000000,12701000001,3000000100000,a101dd8b-3aee-4bda-9c61-9df106f145ff,,Астрахань,Астраханская область
37,Ахтубинск,48.2752034,46.1906462,Астраханская,RU-AST,Южный,1,12205501000,12605101001,3000200100000,8d7acd62-cef4-4d5c-8057-644ee454ce6c,,Ахтубинск,Астраханская область
38,Знаменск,48.5866291,45.7368019,Астраханская,RU-AST,Южный,0,12519000000,12719000001,3000000200000,54ecd5a8-83d9-4a85-ae2c-6fe6976ab716,,Знаменск,Астраханская область
39,Камызяк,46.110579,48.07333,Астраханская,RU-AST,Южный,1,12225501000,12625101001,3000600100000,bc643e13-dcc5-4fa4-8cb1-94f71c5c18f4,,Камызяк,Астраханская область
40,Нариманов,46.6916565,47.8502476,Астраханская,RU-AST,Южный,1,12240501000,12640101001,3000900100000,46ce55dd-e3e2-4c31-ab3c-273423c2f782,,Нариманов,Астраханская область
41,Харабали,47.408999,47.2525345,Астраханская,RU-AST,Южный,1,12245501000,12645101001,3001100100000,08373220-e187-4094-82de-b8e0864c5f38,,Харабали,Астраханская область
42,Алексеевка,50.6299647,38.6880342,Белгородская,RU-BEL,Центральный,1,14410000000,14710000001,3100200100000,94969f84-fff4-4ddf-9677-b912b4b2aa3e,,Алексеевка,Белгородская область
43,Белгород,50.5976472,36.5856652,Белгородская,RU-BEL,Центральный,2,14401000000,14701000001,3100000100000,02e9c019-ab4d-4fa0-928e-d6c0a41dc256,,Белгород,Белгородская область
