,place_id,lat,lon,query_city,query_region
99,258909710.0,50.322208,44.801643,Котово,Волгоградская область
100,259836972.0,48.7045848,44.5637959,Краснослободск,Волгоградская область
101,258963480.0,48.6941186,45.199215,Ленинск,Волгоградская область
102,258284884.0,50.0796329,43.2343877,Михайловка,Волгоградская область
103,258452642.0,50.03146,45.454487,Николаевск,Волгоградская область
104,115481421.0,50.529675,42.667362,Новоаннинский,Волгоградская область
105,258834480.0,50.045901,46.8896382,Палласовка,Волгоградская область
106,258830437.0,50.139622,45.2141,Петров Вал,Волгоградская область
107,258709436.0,49.580608,42.730164,Серафимович,Волгоградская область
108,124012393.0,48.605141,42.844147,Суровикино,Волгоградская область
109,258651261.0,50.7970972,42.0051866,Урюпинск,Волгоградская область
110,257545101.0,49.7645711,43.6539516,Фролово,Волгоградская область
111,258828090.0,59.3969942,35.940425,Бабаево,Вологодская область
112,109926396.0,60.03199,37.7842189,Белозерск,Вологодская область
113,259377853.0,60.7612852,46.3014666,Великий Устюг,Вологодская область
114,258910249.0,59.218876,39.893276,Вологда,Вологодская область
115,257267362.0,61.006355,36.451122,Вытегра,Вологодская область
116,258830228.0,58.8841692,40.2515006,Грязовец,Вологодская область
117,109318613.0,59.5014752,40.340584,Кадников,Вологодская область
118,259084669.0,59.8588453,38.3760743,Кириллов,Вологодская область
119,99103260.0,60.9617195,46.4778243,Красавино,Вологодская область
120,259335064.0,59.5304186,45.4585029,Никольск,Вологодская область
121,108332603.0,59.462799,40.112858,Сокол,Вологодская область
122,259707583.0,59.975856,42.7568023,Тотьма,Вологодская область
123,257960296.0,58.8428204,36.4296982,Устюжна,Вологодская область
124,117032422.0,59.9533237,40.2068249,Харовск,Вологодская область
125,259240544.0,59.128696,37.916389,Череповец,Вологодская область
126,259531607.0,51.0967999,40.0307798,Бобров,Воронежская область
127,259364370.0,49.9324498,40.5544754,Богучар,Воронежская область
128,259422437.0,51.368015,42.075169,Борисоглебск,Воронежская область
129,259076821.0,50.828491,40.587322,Бутурлиновка,Воронежская область
130,258682365.0,51.6605982,39.2005858,Воронеж,Воронежская область
131,259086324.0,50.4259519,41.0161721,Калач,Воронежская область
132,112401820.0,50.982079,39.496941,Лиски,Воронежская область
133,100532193.0,51.30905,39.2160054,Нововоронеж,Воронежская область
134,258925346.0,51.095146,41.616955,Новохопёрск,Воронежская область
135,259356160.0,50.864902,39.077244,Острогожск,Воронежская область
136,116999320.0,50.4520214,40.1399663,Павловск,Воронежская область
137,259843347.0,51.199276,42.24094,Поворино,Воронежская область
138,258829190.0,50.1961874,39.5764857,Россошь,Воронежская область
139,259082929.0,51.690403,39.022186,Семилуки,Воронежская область
140,259156945.0,51.8367188,40.7982804,Эртиль,Воронежская область
141,258903568.0,48.7881668,132.9282082,Биробиджан,Еврейская автономная область
142,131542776.0,49.0145149,131.0538038,Облучье,Еврейская автономная область
143,153167864.0,51.578789,116.646042,Балей,Забайкальский край
144,137038560.0,50.3851808,116.5330685,Борзя,Забайкальский край
145,259282076.0,50.096992,118.041344,Краснокаменск,Забайкальский край
146,,,,Могоча,Забайкальский край
147,127802565.0,51.97694,116.588341,Нерчинск,Забайкальский край
148,256784738.0,51.275215,108.854485,Петровск-Забайкальский,Забайкальский край
149,138252941.0,52.243191,117.695541,Сретенск,Забайкальский край
150,119657807.0,51.3628436,110.4579749,Хилок,Забайкальский край
151,258973959.0,52.033409,113.500893,Чита,Забайкальский край
152,121905785.0,51.851639,116.025894,Шилка,Забайкальский край
153,258750909.0,57.220222,41.9245606,Вичуга,Ивановская область
154,117967484.0,56.5585501,40.1205669,Гаврилов Посад,Ивановская область
155,258700553.0,57.4909934,42.13964,Заволжск,Ивановская область
156,256157413.0,56.9984452,40.9737394,Иваново,Ивановская область
157,257969019.0,57.4431,42.1400999,Кинешма,Ивановская область
158,258924197.0,57.027321,40.377602,Комсомольск,Ивановская область
159,258668767.0,56.9315448,41.0939402,Кохма,Ивановская область
160,118610811.0,57.4737882,41.962231,Наволоки,Ивановская область
161,116793207.0,57.459187,41.511353,Плёс,Ивановская область
162,258925284.0,57.380333,41.281178,Приволжск,Ивановская область
163,116329708.0,56.982048,43.168003,Пучеж,Ивановская область
164,258925092.0,57.105225,41.72839,Родники,Ивановская область
165,258666543.0,56.8554753,40.5405863,Тейково,Ивановская область
166,258750918.0,57.248756,41.10923,Фурманов,Ивановская область
167,259173438.0,56.8558465,41.3838496,Шуя,Ивановская область
168,155491480.0,56.5840428,42.0109249,Южа,Ивановская область
169,258701692.0,57.3178792,43.1110178,Юрьевец,Ивановская область
170,258982385.0,55.554956,98.6654191,Алзамай,Иркутская область
171,259160790.0,52.5311117,103.8826109,Ангарск,Иркутская область
172,326067381.0,51.522598,104.149071,Байкальск,Иркутская область
173,258823731.0,55.964275,97.824509,Бирюсинск,Иркутская область
174,258629209.0,57.8499525,114.2039967,Бодайбо,Иркутская область
175,259050477.0,56.1517085,101.6334907,Братск,Иркутская область
176,259698247.0,56.124722,101.171951,Вихоревка,Иркутская область
177,258946053.0,56.577915,104.12294,Железногорск-Илимский,Иркутская область
178,259233217.0,53.928402,102.052727,Зима,Иркутская область
